,year,costs_fix,profit_op_year,max_op_profit,cumsum_maxopprofit,cumsumwithgrowth_profit,total_profit,total_profit_cumsum
0,2030,311.0,-2429.024599856016,348.5,348.5,-2429.024599856016,-2740.024599856016,-2740.024599856016
1,2031,48.0,-2522.5266456046334,93.75,442.25,-5427.640067032428,-5475.640067032428,-8215.664666888444
2,2032,54.0,-2523.1266456046333,69.425,511.675,-9014.584165775417,-9068.584165775417,-17284.248832663863
3,2033,48.0,-2522.5266456046334,42.65,554.325,-13303.969307872032,-13351.969307872032,-30636.218140535893
4,2034,60.0,-2523.7266456046336,30.5,584.825,-18435.273937819584,-18495.273937819584,-49131.49207835548
5,2035,45.0,-2522.2266456046336,22.875,607.7,-24570.814275236855,-24615.814275236855,-73747.30635359233
6,2036,39.0,-2465.5717119895126,19.825,627.5250000000001,-31852.26558517279,-31891.26558517279,-105638.57193876512
7,2037,51.0,-2522.8266456046335,25.924999999999997,653.45,-40618.136285471286,-40669.136285471286,-146307.7082242364
8,2038,45.0,-2522.2266456046336,22.875,676.325,-51101.51764302829,-51146.51764302829,-197454.2258672647
9,2039,48.0,-2522.5266456046334,24.4,700.725,-63639.94174666646,-63687.94174666646,-261142.16761393117
10,2040,39.0,-2465.5717119895126,19.825,720.5500000000001,-78578.94204100259,-78617.94204100259,-339760.1096549338
