,points,size,score,2040_demand,year
0,POINT (859374.1128636684 6509910.7609227905),large,28.125491125533827,6804.890405016395,2030
1,POINT (698351.803000003 7037530.504),large,23.72593723558913,5740.429631036968,2030
2,POINT (839973.596000001 6628657.1),large,23.577885051752954,5704.608785074428,2030
3,POINT (486200.559 6773027.488),large,23.146897818653017,5600.332529981988,2030
4,POINT (690643.3864711503 7019124.534796845),large,22.71143898362324,5494.974382277199,2030
5,POINT (659085.7480051693 6920289.41876353),large,21.631984043658832,5233.803029541507,2030
6,POINT (708763.248999998 7068791.792),large,20.634569320081187,4992.481096637242,2030
7,POINT (599765.479999997 6639099.485),large,20.131771910139502,4870.830553529994,2030
8,POINT (649787.475000001 6848773.905),large,20.026898268395207,4845.456645026154,2030
9,POINT (599912.829000004 6748732.623),large,19.954205787822165,4827.8688858876385,2030
10,POINT (739544.2048799009 7026627.5834436845),large,19.438218648284035,4703.027121550688,2030
11,POINT (859971.984999999 6689039.237),large,19.393832003257938,4692.287886687168,2030
12,POINT (728223.702 7036529.128),large,19.33143633849643,4677.191415711601,2030
13,POINT (591974.50934426 6818201.661016393),large,18.65496920299477,4513.5219281589,2030
14,POINT (700156.240999997 6809061.188),large,18.588794187058085,4497.511052864688,2030
15,POINT (660289.9076411594 6857857.289335333),large,18.57776927993189,4494.843604876513,2030
16,POINT (777911.261 6797104.031),large,17.54982538164602,4246.135216492489,2030
17,POINT (412457.46066418686 6261769.38689495),large,17.16142416408035,4152.1625385786165,2030
18,POINT (403591.59933980135 6666998.42243796),large,17.116570698750394,4141.3103577404845,2030
19,POINT (688952.8134 7038366.2222),large,16.927511291508775,4095.567919303611,2030
20,POINT (841632.648999996 6658261.086),large,16.910611679165395,4091.4791014632156,2030
21,POINT (939818.597999997 6538742.583),large,16.886443199913117,4085.6315999268477,2030
22,POINT (694414.5107967859 7026218.916386834),large,16.830095280683178,4071.998365463526,2030
23,POINT (579912.0974487796 6847226.660414634),large,16.69429150593742,4039.140990649779,2030
24,POINT (398917.527000003 6783652.11),large,16.566342496000523,4008.1840560254263,2030
25,POINT (769500.3595684587 7020944.57801617),large,16.408618192514638,3970.0230655332607,2030
26,POINT (659516.43 6867824.233),large,16.36292638799208,3958.9680506787404,2030
27,POINT (678456.0496473283 7070835.253465537),large,15.956658029076348,3860.67246376408,2030
28,POINT (930868 6526235.194),large,15.606508000436353,3775.9545628544192,2030
29,POINT (839621.081 6638744.514),large,15.315456013389712,3705.5352814568205,2030
30,POINT (232776.945 6761565.702),large,15.0429070433677,3639.5927575477485,2030
31,POINT (368796.53929306235 6660319.944166654),large,14.99349044074034,3627.6365373499743,2031
32,POINT (619609.3399959173 6849078.208603385),large,14.73773665848915,3565.7575660239318,2031
33,POINT (840541.498000003 6499453.796),large,14.725150128254572,3562.7122873319636,2031
34,POINT (838696.358999997 6360045.488),large,14.691780458889195,3554.6385814589003,2031
35,POINT (999836.827 6738789.353),large,14.607233008772251,3534.1825428602688,2031
36,POINT (701969.4654311899 7058229.747593526),large,14.343931539186421,3470.477427951726,2031
37,POINT (656628.260600001 6885254.5238),large,14.312520098596238,3462.87751050581,2031
38,POINT (709754.8783411726 7058984.39888404),large,14.274782318909685,3453.746951549543,2031
39,POINT (847397.280500002 6336824.896),large,14.15259623453019,3424.184341975565,2031
40,POINT (430741.54156298464 6807087.8810117645),large,13.927814050244919,3369.7988693011766,2031
41,POINT (422033.7033791632 6426613.71541276),large,13.675317033440393,3308.7078640177706,2031
42,POINT (516208.417999998 6933314.772),large,13.232434612185205,3201.553598675403,2031
43,POINT (431703.376199998 6645038.6374),large,13.187446200120329,3190.6687678210446,2031
44,POINT (743413.516900003 6746861.6493),large,12.98393416129644,3141.42955225973,2031
45,POINT (858639.9212765117 6275030.065537414),large,12.83948408039849,3106.4802258597397,2031
46,POINT (903959.7942394053 6577946.613387981),large,12.707606668800656,3074.5728245341934,2032
47,POINT (678067.342187411 6922423.746204438),large,12.706627220200945,3074.3358494588556,2032
48,POINT (868904.6083520895 6531508.0240899185),large,12.704479490307573,3073.8162117224433,2032
49,POINT (883035.4133847277 6499014.575223522),large,12.603599554966952,3049.4085702347234,2032
50,POINT (655858.6001430757 6837354.173727337),large,12.266696202040263,2967.8956685216103,2032
51,POINT (393559.559 6547930.556),large,12.195730096754794,2950.7256014538725,2032
52,POINT (595207.6382666598 6636371.9117171625),large,12.077506928267256,2922.1218092107174,2032
53,POINT (928610.858000003 6860474.636),large,12.053218882073907,2916.245378759778,2032
54,POINT (836069.9934168435 6537823.007048808),large,11.885489729412091,2875.663740682933,2032
55,POINT (682367.5731347118 6848551.736676893),large,11.75168399403137,2843.289786366388,2032
56,POINT (398989.45393536804 6897956.222677221),large,11.689662755988298,2828.2839069745296,2032
57,POINT (961446.9033626051 6558103.901712668),large,11.68895712257555,2828.1131807810407,2032
58,POINT (383154.9779390657 6708270.7447275985),large,11.61980789444864,2811.3827024795287,2032
59,POINT (590186.636500001 6962000.3493),large,11.454773164106694,2771.452972968821,2032
60,POINT (841979.9217536764 6408158.149906961),large,11.363900260110118,2749.466507035756,2032
61,POINT (678857.0066313462 7038132.381421939),large,11.35094625906289,2746.3323197236346,2033
62,POINT (851838.5119197724 6322008.039017192),large,11.331591774935404,2741.6495519545197,2033
63,POINT (710907.019000001 6519435.508),large,11.075289814603986,2679.637950348645,2033
64,POINT (409359.377300002 6669107.0256),large,10.999161149602461,2661.218815205249,2033
65,POINT (508891.381999999 6344136.171),large,10.987355364878548,2658.3624358861157,2033
66,POINT (729320.1606802072 7024317.699013008),large,10.974027987710008,2655.1379111795623,2033
67,POINT (372798.8847838562 6805019.4059932185),large,10.96137456444395,2652.076447890282,2033
68,POINT (848143.130000003 6530032.431),large,10.753282247694218,2601.7290458382577,2033
69,POINT (554039.0280606019 6794268.078426),large,10.704356038456481,2589.8914750627046,2033
70,POINT (919395.5185439285 6847371.424590785),large,10.698381819068029,2588.4460280121098,2033
71,POINT (422222.1663092828 6419831.214181287),large,10.66849275172623,2581.2144448670797,2033
