,distance_production,0,demand,transport_costs,size,leftover_demand,construction_costs,latitude,longitude,geometry
0,32.57127769023695,15.0,8760000.0,34238927.10797708,large,1460000.0,123600000.0,694023.6152578142,6992995.048171883,POINT (694023.6152578142 6992995.048171883)
1,40.458312575254894,27.0,20440000.0,178625068.35225338,large,13140000.0,123600000.0,843918.4230029188,6415530.092624605,POINT (843918.4230029188 6415530.092624605)
3,35.321860451302896,20.0,14600000.0,82511866.01424356,large,7300000.0,123600000.0,560018.5180078956,6412140.9805558575,POINT (560018.5180078956 6412140.9805558575)
5,32.45895111253552,6.0,3650000.0,5686808.234916224,large,0.0,123600000.0,389829.02309205034,6331072.55098271,POINT (389829.02309205034 6331072.55098271)
6,32.07473817912703,6.0,5475000.0,8429241.193474585,large,0.0,123600000.0,618175.5810114044,6178501.149134198,POINT (618175.5810114044 6178501.149134198)
7,44.563294325074644,14.0,8760000.0,43721939.32821723,large,1460000.0,123600000.0,494615.2498423633,6904605.746192398,POINT (494615.2498423633 6904605.746192398)
8,31.20625634834406,9.0,5475000.0,12301506.252517227,large,0.0,123600000.0,589293.6319245007,6738063.743674184,POINT (589293.6319245007 6738063.743674184)
9,50.34246059211252,8.0,6570000.0,21167997.829771474,large,0.0,123600000.0,894701.8256948867,6529986.882050386,POINT (894701.8256948867 6529986.882050386)
10,30.183636492738955,9.0,7300000.0,15864519.340583596,large,0.0,123600000.0,322669.3751813576,6832683.578686821,POINT (322669.3751813576 6832683.578686821)
11,38.16085362277052,9.0,9490000.0,26074548.06336664,large,2190000.0,123600000.0,687053.3051279682,6857995.776499144,POINT (687053.3051279682 6857995.776499144)
12,22.205295486845756,16.0,9125000.0,25935785.128635842,large,1825000.0,123600000.0,874626.213695127,6686373.139732556,POINT (874626.213695127 6686373.139732556)
15,37.30276591760659,9.0,4380000.0,11763800.259776417,large,0.0,123600000.0,240606.85907891556,6756917.995161694,POINT (240606.85907891556 6756917.995161694)
16,33.69610408308666,12.0,6935000.0,22433518.254355777,large,0.0,123600000.0,637389.2180666642,6652941.629929291,POINT (637389.2180666642 6652941.629929291)
17,27.73446991153195,6.0,4380000.0,5830894.954200477,large,0.0,123600000.0,665873.077386295,7080938.300668377,POINT (665873.077386295 7080938.300668377)
18,41.47266102158184,4.0,1825000.0,2422003.4036603794,large,0.0,123600000.0,729007.1627040866,6535117.70513766,POINT (729007.1627040866 6535117.70513766)
19,45.817436409895976,3.0,1460000.0,1605442.971802755,large,0.0,123600000.0,435220.6201164869,6780734.687958278,POINT (435220.6201164869 6780734.687958278)
20,38.77223913761718,10.0,4745000.0,14717941.976639481,large,0.0,123600000.0,599830.422266696,6872947.685557149,POINT (599830.422266696 6872947.685557149)
2,,,,,,,,355499.58113182924,6671868.08912288,POINT (355499.58113182924 6671868.08912288)
4,,,,,,,,892798.861317902,6881273.673723039,POINT (892798.861317902 6881273.673723039)
13,,,,,,,,1014087.6280077784,6794122.567135505,POINT (1014087.6280077784 6794122.567135505)
14,,,,,,,,949646.0375263887,6332784.5812167525,POINT (949646.0375263887 6332784.5812167525)
21,,,,,,,,737905.4279237378,6744450.492975319,POINT (737905.4279237378 6744450.492975319)
22,,,,,,,,842058.1212279913,6300128.400107017,POINT (842058.1212279913 6300128.400107017)
23,,,,,,,,413166.0636986122,6570101.72871372,POINT (413166.0636986122 6570101.72871372)
